Period,# of trades,winning trades,winning percent,# of long trades,long winning trades,long winning percent,# of short trades,short winning trades,short winning percent
02/05/2008--08/03/2008,7.0,1.0,14.285714285714285,7.0,1.0,14.285714285714285,0.0,0.0
02/15/2008--08/13/2008,7.0,1.0,14.285714285714285,7.0,1.0,14.285714285714285,0.0,0.0
02/25/2008--08/23/2008,7.0,1.0,14.285714285714285,7.0,1.0,14.285714285714285,0.0,0.0
03/06/2008--09/02/2008,7.0,1.0,14.285714285714285,7.0,1.0,14.285714285714285,0.0,0.0
03/16/2008--09/12/2008,7.0,1.0,14.285714285714285,7.0,1.0,14.285714285714285,0.0,0.0
03/26/2008--09/22/2008,7.0,1.0,14.285714285714285,7.0,1.0,14.285714285714285,0.0,0.0
04/05/2008--10/02/2008,5.0,1.0,20.0,5.0,1.0,20.0,0.0,0.0
04/15/2008--10/12/2008,5.0,1.0,20.0,5.0,1.0,20.0,0.0,0.0
04/25/2008--10/22/2008,3.0,1.0,33.33333333333333,3.0,1.0,33.33333333333333,0.0,0.0
05/05/2008--11/01/2008,2.0,1.0,50.0,2.0,1.0,50.0,0.0,0.0
05/15/2008--11/11/2008,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0
05/25/2008--11/21/2008,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0
06/04/2008--12/01/2008,2.0,2.0,100.0,1.0,1.0,100.0,1.0,1.0,100.0
06/14/2008--12/11/2008,2.0,2.0,100.0,1.0,1.0,100.0,1.0,1.0,100.0
06/24/2008--12/21/2008,4.0,4.0,100.0,3.0,3.0,100.0,1.0,1.0,100.0
07/04/2008--12/31/2008,4.0,4.0,100.0,3.0,3.0,100.0,1.0,1.0,100.0
07/14/2008--01/10/2009,5.0,5.0,100.0,4.0,4.0,100.0,1.0,1.0,100.0
07/24/2008--01/20/2009,6.0,5.0,83.33333333333334,4.0,4.0,100.0,2.0,1.0,50.0
08/03/2008--01/30/2009,6.0,4.0,66.66666666666666,3.0,3.0,100.0,3.0,1.0,33.33333333333333
08/13/2008--02/09/2009,6.0,4.0,66.66666666666666,3.0,3.0,100.0,3.0,1.0,33.33333333333333
08/23/2008--02/19/2009,7.0,5.0,71.42857142857143,4.0,4.0,100.0,3.0,1.0,33.33333333333333
09/02/2008--03/01/2009,7.0,5.0,71.42857142857143,4.0,4.0,100.0,3.0,1.0,33.33333333333333
09/12/2008--03/11/2009,9.0,6.0,66.66666666666666,4.0,4.0,100.0,5.0,2.0,40.0
09/22/2008--03/21/2009,9.0,6.0,66.66666666666666,4.0,4.0,100.0,5.0,2.0,40.0
10/02/2008--03/31/2009,10.0,6.0,60.0,5.0,4.0,80.0,5.0,2.0,40.0
10/12/2008--04/10/2009,10.0,6.0,60.0,5.0,4.0,80.0,5.0,2.0,40.0
10/22/2008--04/20/2009,10.0,6.0,60.0,5.0,4.0,80.0,5.0,2.0,40.0
11/01/2008--04/30/2009,9.0,5.0,55.55555555555556,5.0,4.0,80.0,4.0,1.0,25.0
11/11/2008--05/10/2009,9.0,5.0,55.55555555555556,5.0,4.0,80.0,4.0,1.0,25.0
11/21/2008--05/20/2009,10.0,6.0,60.0,5.0,4.0,80.0,5.0,2.0,40.0
12/01/2008--05/30/2009,10.0,6.0,60.0,5.0,4.0,80.0,5.0,2.0,40.0
12/11/2008--06/09/2009,9.0,5.0,55.55555555555556,4.0,3.0,75.0,5.0,2.0,40.0
12/21/2008--06/19/2009,7.0,3.0,42.857142857142854,3.0,1.0,33.33333333333333,4.0,2.0,50.0
12/31/2008--06/29/2009,7.0,3.0,42.857142857142854,3.0,1.0,33.33333333333333,4.0,2.0,50.0
01/10/2009--07/09/2009,7.0,3.0,42.857142857142854,3.0,1.0,33.33333333333333,4.0,2.0,50.0
01/20/2009--07/19/2009,7.0,3.0,42.857142857142854,4.0,1.0,25.0,3.0,2.0,66.66666666666666
01/30/2009--07/29/2009,8.0,4.0,50.0,6.0,3.0,50.0,2.0,1.0,50.0
02/09/2009--08/08/2009,7.0,3.0,42.857142857142854,5.0,2.0,40.0,2.0,1.0,50.0
02/19/2009--08/18/2009,7.0,3.0,42.857142857142854,5.0,2.0,40.0,2.0,1.0,50.0
03/01/2009--08/28/2009,7.0,3.0,42.857142857142854,5.0,2.0,40.0,2.0,1.0,50.0
03/11/2009--09/07/2009,6.0,3.0,50.0,5.0,2.0,40.0,1.0,1.0,100.0
03/21/2009--09/17/2009,7.0,4.0,57.14285714285714,5.0,2.0,40.0,2.0,2.0,100.0
03/31/2009--09/27/2009,6.0,4.0,66.66666666666666,4.0,2.0,50.0,2.0,2.0,100.0
04/10/2009--10/07/2009,7.0,5.0,71.42857142857143,5.0,3.0,60.0,2.0,2.0,100.0
04/20/2009--10/17/2009,7.0,5.0,71.42857142857143,5.0,3.0,60.0,2.0,2.0,100.0
04/30/2009--10/27/2009,8.0,6.0,75.0,6.0,4.0,66.66666666666666,2.0,2.0,100.0
05/10/2009--11/06/2009,7.0,6.0,85.71428571428571,6.0,5.0,83.33333333333334,1.0,1.0,100.0
05/20/2009--11/16/2009,7.0,6.0,85.71428571428571,6.0,5.0,83.33333333333334,1.0,1.0,100.0
05/30/2009--11/26/2009,7.0,6.0,85.71428571428571,6.0,5.0,83.33333333333334,1.0,1.0,100.0
06/09/2009--12/06/2009,6.0,6.0,100.0,5.0,5.0,100.0,1.0,1.0,100.0
06/19/2009--12/16/2009,6.0,6.0,100.0,5.0,5.0,100.0,1.0,1.0,100.0
06/29/2009--12/26/2009,6.0,6.0,100.0,5.0,5.0,100.0,1.0,1.0,100.0
07/09/2009--01/05/2010,6.0,6.0,100.0,5.0,5.0,100.0,1.0,1.0,100.0
