Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,StopLoss-Exit-Date,StopLoss-Exit-Price,StopLoss-Exit-PorL,Profit-Exit-Date,Profit-Exit-Price,Profit-Exit-PorL,Exit-Date,Exit-Price,PorL,Actual-PorL,Current-Pos
V,LONG,2011-12-01,95.01,288,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2011-12-06,93.57,-414.72,-414.72,[]
NFLX,LONG,2012-01-05,81.17,205,No-Exit,0.0,0.0,2012-01-06,83.17,410.00,2012-01-18,93.18,2462.05,410.00,['CF']
CF,LONG,2012-01-04,150.54,182,No-Exit,0.0,0.0,2012-01-04,152.46,350.01,2012-01-18,164.90,2613.33,350.01,[]
V,LONG,2012-02-03,104.35,103,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2012-02-08,105.31,98.63,98.63,['MA', 'WHR']
WHR,LONG,2012-02-02,59.72,486,No-Exit,0.0,0.0,2012-02-03,61.60,912.03,2012-02-10,64.61,2377.23,912.03,['MA']
MA,LONG,2012-02-03,38.01,473,No-Exit,0.0,0.0,2012-02-03,38.21,93.53,2012-02-10,38.95,445.86,93.53,[]
AGN,LONG,2012-02-15,60.79,498,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2012-02-21,59.39,-697.20,-697.20,[]
GD,LONG,2012-02-27,67.73,441,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2012-03-01,67.52,-92.61,-92.61,[]
NFLX,LONG,2012-03-22,121.09,246,No-Exit,0.0,0.0,2012-03-22,123.09,492.00,2012-03-23,117.37,-915.12,492.00,[]
URI,LONG,2012-04-03,44.61,410,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2012-04-04,42.56,-840.50,-840.50,['UNH']
UNH,LONG,2012-03-30,56.02,526,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2012-04-05,56.25,120.98,120.98,[]
CP,SHORT,2012-04-10,72.10,243,2012-04-10,72.62,-126.36,2012-04-10,70.16,471.66,2012-04-12,72.68,-140.95,-126.36,['GILD', 'WHR']
WHR,SHORT,2012-04-10,69.20,422,No-Exit,0.0,0.0,2012-04-10,67.31,797.17,2012-04-13,68.26,396.68,797.17,['GILD']
GILD,SHORT,2012-04-11,44.90,633,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2012-04-17,46.17,-803.91,-803.91,['AAPL']
AAPL,SHORT,2012-04-17,78.20,357,2012-04-17,80.50,-821.10,2012-04-17,77.93,96.59,2012-04-18,83.02,-1721.58,-821.10,[]
AMZN,LONG,2012-04-30,227.97,124,2012-04-30,223.58,-544.36,2012-04-30,229.97,248.00,2012-05-07,222.36,-695.64,-544.36,[]
MA,SHORT,2012-05-10,41.72,673,2012-05-10,42.25,-356.69,2012-05-10,41.52,133.16,2012-05-11,42.25,-356.69,-356.69,['FDX']
FDX,SHORT,2012-05-10,85.40,197,2012-05-10,87.04,-323.08,No-Exit,0.0,0.0,2012-05-15,87.04,-323.08,-323.08,[]
URI,SHORT,2012-05-16,38.64,720,No-Exit,0.0,0.0,2012-05-17,36.64,1440.00,2012-05-23,36.14,1800.00,1440.00,[]
CF,LONG,2012-06-20,174.94,101,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2012-06-21,172.86,-210.08,-210.08,['AMZN']
AMZN,LONG,2012-06-19,223.96,127,No-Exit,0.0,0.0,2012-06-21,225.96,254.00,2012-06-22,219.97,-506.73,254.00,[]
AGN,LONG,2012-06-29,72.87,390,No-Exit,0.0,0.0,2012-07-02,74.87,780.00,2012-07-10,74.71,717.60,780.00,[]
AMZN,SHORT,2012-07-17,215.04,132,2012-07-17,217.85,-370.92,No-Exit,0.0,0.0,2012-07-18,217.85,-370.92,-370.92,[]
GOOGL,LONG,2012-07-20,304.38,95,No-Exit,0.0,0.0,2012-07-20,305.38,95.00,2012-07-25,303.47,-86.45,95.00,[]
NFLX,SHORT,2012-07-26,59.00,480,No-Exit,0.0,0.0,2012-07-26,57.00,960.00,2012-08-06,55.16,1843.20,960.00,[]
VIAB,LONG,2012-08-07,47.08,617,No-Exit,0.0,0.0,2012-08-17,49.00,1182.50,2012-08-21,48.43,832.95,1182.50,[]
AMZN,LONG,2012-08-27,247.07,118,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2012-08-28,243.03,-476.72,-476.72,[]
NFLX,SHORT,2012-09-05,54.33,537,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2012-09-13,57.80,-1863.39,-1863.39,['V', 'MA']
MA,LONG,2012-09-07,42.86,645,No-Exit,0.0,0.0,2012-09-07,43.05,127.71,2012-09-20,44.31,934.84,127.71,['V']
V,LONG,2012-09-12,130.32,130,No-Exit,0.0,0.0,2012-09-13,132.29,255.46,2012-09-24,131.77,188.06,255.46,[]
IWM,SHORT,2012-10-10,79.40,364,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2012-10-16,80.22,-296.84,-296.84,[]
ALL,SHORT,2012-11-02,36.87,780,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2012-11-14,37.22,-273.00,-273.00,[]
FDX,SHORT,2012-11-15,85.72,200,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2012-11-20,86.36,-128.20,-128.20,['UNP']
UNP,SHORT,2012-11-15,55.98,512,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2012-11-20,57.53,-793.60,-793.60,[]
VRX,LONG,2012-12-05,57.40,493,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2012-12-10,57.49,44.37,44.37,[]
GILD,LONG,2012-12-12,76.00,373,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2012-12-13,74.98,-380.46,-380.46,[]
URI,LONG,2012-12-19,44.95,627,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2012-12-20,44.61,-213.18,-213.18,[]
WHR,LONG,2013-01-03,103.50,271,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2013-01-07,101.65,-501.35,-501.35,[]
AAPL,SHORT,2013-01-15,68.02,158,No-Exit,0.0,0.0,2013-01-15,67.74,43.13,2013-01-16,68.79,-121.99,43.13,['NFLX', 'CF']
NFLX,LONG,2013-01-14,102.12,169,No-Exit,0.0,0.0,2013-01-14,104.12,338.00,2013-01-16,99.22,-490.10,338.00,['CF']
CF,LONG,2013-01-10,209.52,133,No-Exit,0.0,0.0,2013-01-10,211.46,257.96,2013-01-18,210.22,93.10,257.96,[]
UNP,LONG,2013-02-28,66.50,417,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2013-03-01,65.99,-213.13,-213.13,[]
NFLX,LONG,2013-03-27,192.84,143,No-Exit,0.0,0.0,2013-03-27,194.84,286.00,2013-04-01,187.31,-790.79,286.00,[]
URI,SHORT-SPY-NULL,2013-04-04,50.37,543,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2013-04-08,53.30,-1590.99,0.0,[]
CF,LONG,2013-05-10,190.86,86,2013-05-10,186.94,-337.20,No-Exit,0.0,0.0,2013-05-13,186.94,-337.20,-337.20,['URI']
URI,LONG,2013-05-06,55.48,482,No-Exit,0.0,0.0,2013-05-07,57.48,964.00,2013-05-14,57.04,751.92,964.00,[]
CVS,LONG,2013-05-15,59.02,455,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2013-05-17,57.78,-564.20,-564.20,[]
VIAB,SHORT,2013-06-03,63.81,418,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2013-06-04,66.57,-1152.23,-1152.23,['GILD']
