Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,StopLoss-Exit-Date,StopLoss-Exit-Price,StopLoss-Exit-PorL,Profit-Exit-Date,Profit-Exit-Price,Profit-Exit-PorL,Exit-Date,Exit-Price,PorL,Actual-PorL,,Strategy,Current-Pos,,,
GOOGL,SHORT,2010-08-20,233.53,301,No-Exit,0,0,2010-08-20,231.19,704.29,2010-09-01,227.49,1818.04,704.29,1818.04,BB Spread,['DD'],,,
QCOM,SHORT,2011-03-10,50.81,1553,No-Exit,0,0,2011-03-10,50.3,789.01,2011-03-18,49.41,2167.1,789.01,2167.1,BB Spread,[],,,
AAPL,SHORT,2011-04-15,44.25,1840,No-Exit,0,0,2011-04-18,43.81,811.7,2011-04-19,45.46,-2226.4,811.7,811.7,BB Spread,[],,,
XOM,SHORT,2011-08-01,73.65,1135,No-Exit,0,0,2011-08-01,72.91,835.93,2011-08-12,66.4,8233.2,835.93,8233.2,BB Spread,['GOOGL', 'LYB'],,
NFLX,SHORT,2011-09-16,167.8,534,2011-09-16,167.8,0,2011-09-16,166.12,896.05,2011-09-19,156.69,5932.74,896.05,5932.74,BB Spread,['GOOGL'],,,
AAPL,SHORT,2011-10-05,49.73,1919,2011-10-05,50.84,-2130.09,2011-10-05,49.23,954.95,2011-10-06,50.84,-2130.09,-2130.09,-2130.09,BB Spread,[],,,
NTAP,SHORT,2011-11-18,34.5,2897,No-Exit,0,0,2011-11-18,34.15,1015.52,2011-11-29,35.05,-1593.35,1015.52,1015.52,BB Spread,[],,,
GMCR,SHORT,2011-12-16,44.49,1146,No-Exit,0,0,2011-12-16,44.05,509.86,2011-12-19,46.21,-1970.18,509.86,509.86,BB Spread,[],,,
AAPL,SHORT,2012-04-20,78.82,627,No-Exit,0,0,2012-04-20,78.02,501.6,2012-04-24,76.11,1700.22,501.6,1700.22,BB Spread,['NFLX'],,,
JPM,SHORT,2012-04-16,40.02,2846,No-Exit,0,0,2012-04-23,39.63,1112.8,2012-04-24,40.13,-313.06,1112.8,1112.8,BB Spread,['NFLX'],,,
SWK,SHORT,2012-04-20,68.37,497,No-Exit,0,0,2012-04-23,67.69,337.9,2012-04-25,68.78,-204.25,337.9,337.9,BB Spread,[],,,
NFLX,SHORT,2012-07-26,59,1986,No-Exit,0,0,2012-07-26,58.41,1178,2012-08-06,55.16,7626.24,1178,7626.24,BB Spread,[],,,
CAT,SHORT,2012-09-05,77.37,801,No-Exit,0,0,No-Exit,0,0,2012-09-07,82.32,-3964.45,-3964.45,-3964.45,BB Spread,['AAPL'],,,
NFLX,SHORT,2012-09-05,55.6,923,No-Exit,0,0,2012-09-05,55.04,513.19,2012-09-07,57.31,-1578.33,513.19,513.19,BB Spread,[],,,
AAPL,SHORT,2012-10-02,88.51,1341,No-Exit,0,0,No-Exit,0,0,2012-10-04,91.3,-3741.39,-3741.39,-3741.39,BB Spread,[],,,
EW,SHORT,2012-10-10,83.31,1365,2012-10-10,87.08,-5146.05,No-Exit,0,0,2012-10-11,88.06,-6483.75,-5146.05,-5146.05,BB Spread,[],,,
DLTR,SHORT,2012-10-12,42.17,2193,No-Exit,0,0,2012-10-12,41.75,924.79,2012-10-23,39.15,6622.86,924.79,6622.86,BB Spread,[],,,
CMG,SHORT,2012-10-22,244.2,303,2012-10-22,244.2,0,2012-10-22,241.76,739.93,2012-10-24,238.01,1875.57,739.93,1875.57,BB Spread,[],,,
DD,SHORT,2012-10-24,42.26,2464,No-Exit,0,0,2012-10-24,41.84,1041.39,2012-11-06,41.51,1858.15,1041.39,1858.15,BB Spread,[],,,
ESRX,SHORT,2012-11-07,54.29,1929,No-Exit,0,0,2012-11-07,53.75,1047.25,2012-11-16,51.06,6230.67,1047.25,6230.67,BB Spread,[],,,
AAPL,SHORT,2013-01-15,68.02,1843,No-Exit,0,0,2013-01-15,67.34,1253.57,2013-01-16,68.79,-1422.94,1253.57,1253.57,BB Spread,[],,,
FFIV,SHORT,2013-04-08,73.37,65,No-Exit,0,0,2013-04-08,72.64,47.69,2013-04-11,73.93,-36.4,47.69,47.69,BB Spread,['STZ'],,,
FSLR,SHORT,2013-06-13,45.43,1492,No-Exit,0,0,2013-06-14,44.96,694.53,2013-06-19,46.15,-1074.24,694.53,694.53,BB Spread,['V'],,,
AAPL,SHORT,2013-06-13,59.28,1168,No-Exit,0,0,2013-06-19,58.68,696.3,2013-06-28,55.26,4695.36,696.3,4695.36,BB Spread,[],,,
GOOGL,SHORT,2013-10-04,435.26,308,No-Exit,0,0,2013-10-08,430.93,1332.59,2013-10-11,434.43,255.64,1332.59,1332.59,BB Spread,['BA'],,,
NFLX,SHORT,2014-01-08,336.73,429,No-Exit,0,0,2014-01-10,333.35,1450.32,2014-01-17,332.31,1896.18,1450.32,1896.18,BB Spread,[],,,
AAPL,SHORT,2014-01-29,70.51,2106,No-Exit,0,0,2014-01-29,69.81,1484.97,2014-02-05,71.28,-1618.3,1484.97,1484.97,BB Spread,[],,,
BA,SHORT,2014-01-30,127.56,1089,No-Exit,0,0,2014-01-30,126.27,1401.22,2014-02-07,120.9,7249.5,1401.22,7249.5,BB Spread,['AAPL'],,,
AAPL,SHORT,2014-04-08,73.58,91,No-Exit,0,0,No-Exit,0,0,2014-04-09,74.5,-83.72,-83.72,-83.72,BB Spread,[],,,
AMZN,SHORT,2014-04-28,304,453,2014-04-28,304,0,2014-04-28,300.96,1377.12,2014-04-29,296.44,3424.68,1377.12,3424.68,BB Spread,[],,,
DISCA,SHORT,2014-08-08,41.06,2089,2014-08-08,42.11,-2193.45,No-Exit,0,0,2014-08-11,42.29,-2569.47,-2193.45,-2193.45,BB Spread,['SLB'],,,
NFLX,SHORT,2014-09-16,448.4,357,2014-09-16,448.4,0,No-Exit,0,0,2014-09-17,456.91,-3038.07,-3038.07,-3038.07,BB Spread,[],,,
NFLX,SHORT,2014-11-20,362.46,421,2014-11-20,373.15,-4500.49,No-Exit,0,0,2014-11-21,373.15,-4500.49,-4500.49,-4500.49,BB Spread,[],,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,78.8617886179,97,,,,,
