Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,StopLoss-Exit-Date,StopLoss-Exit-Price,StopLoss-Exit-PorL,Exit-Date,Exit-Price,PorL,Actual-PorL,Strategy,Current-Pos
AAPL,LONG,2013-03-18,64.01,210,No-Exit,0.0,0.0,2013-03-27,65.21,251.70,251.70,BB 20 SMA Xover Mtm,['NFLX', 'PCLN', 'CRM']
NFLX,LONG,2013-03-27,192.52,3,No-Exit,0.0,0.0,2013-04-02,178.98,-40.62,-40.62,BB 20 SMA Xover Mtm,['HUM', 'PCLN', 'CRM']
CRM,LONG,2013-03-04,45.95,5858,No-Exit,0.0,0.0,2013-04-04,41.34,-27005.38,-27005.38,BB 20 SMA Xover Mtm,['HUM', 'PCLN', 'THC']
HUM,LONG,2013-03-28,69.41,189,No-Exit,0.0,0.0,2013-04-05,78.38,1695.33,1695.33,BB 20 SMA Xover Mtm,['PCLN', 'THC']
PCLN,SHORT,2013-03-19,689.84,1,No-Exit,0.0,0.0,2013-04-11,720.91,-31.07,-31.07,BB 20 SMA Xover Mtm,['THC']
THC,SHORT,2013-04-04,43.65,27,No-Exit,0.0,0.0,2013-04-23,40.16,94.23,94.23,BB 20 SMA Xover Mtm,['PCLN']
VLO,LONG,2013-04-25,42.39,1804,No-Exit,0.0,0.0,2013-05-01,39.53,-5159.44,-5159.44,BB 20 SMA Xover Mtm,['AAPL', 'GD', 'BRCM', 'PCLN']
PCLN,SHORT,2013-04-19,683.11,359,No-Exit,0.0,0.0,2013-05-03,722.08,-13990.23,-13990.23,BB 20 SMA Xover Mtm,['AAPL', 'GD', 'BRCM']
AAPL,LONG,2013-04-30,62.16,255,No-Exit,0.0,0.0,2013-05-10,64.91,701.98,701.98,BB 20 SMA Xover Mtm,['GD', 'BRCM']
BRCM,LONG,2013-04-25,35.44,2234,No-Exit,0.0,0.0,2013-05-14,36.12,1519.12,1519.12,BB 20 SMA Xover Mtm,['GD']
GD,LONG,2013-04-25,72.45,1080,No-Exit,0.0,0.0,2013-05-22,77.36,5302.80,5302.80,BB 20 SMA Xover Mtm,['AAPL']
FSLR,SHORT,2013-06-12,49.56,3576,No-Exit,0.0,0.0,2013-06-17,46.31,11622.00,11622.00,BB 20 SMA Xover Mtm,['AXP', 'VLO', 'AAPL', 'FFIV']
FFIV,SHORT,2013-06-04,78.37,2706,No-Exit,0.0,0.0,2013-06-18,75.66,7333.26,7333.26,BB 20 SMA Xover Mtm,['AXP', 'VLO', 'AAPL']
AXP,SHORT,2013-06-13,73.97,2498,No-Exit,0.0,0.0,2013-06-26,74.11,-349.72,-349.72,BB 20 SMA Xover Mtm,['VLO', 'AAPL']
VLO,SHORT,2013-06-05,38.57,5230,No-Exit,0.0,0.0,2013-06-26,35.31,17049.80,17049.80,BB 20 SMA Xover Mtm,['AAPL']
AAPL,SHORT,2013-05-16,60.46,2555,No-Exit,0.0,0.0,2013-07-01,57.60,7314.60,7314.60,BB 20 SMA Xover Mtm,[]
FFIV,LONG,2013-07-11,74.60,3786,No-Exit,0.0,0.0,2013-07-19,79.95,20255.10,20255.10,BB 20 SMA Xover Mtm,[]
AAPL,SHORT,2013-09-11,66.72,4208,No-Exit,0.0,0.0,2013-09-18,66.50,907.79,907.79,BB 20 SMA Xover Mtm,[]
CME,LONG,2013-09-20,74.60,3958,No-Exit,0.0,0.0,2013-10-09,72.57,-8034.74,-8034.74,BB 20 SMA Xover Mtm,['HCP', 'AMZN']
NFLX,SHORT,2013-10-09,299.30,17,No-Exit,0.0,0.0,2013-10-14,322.31,-391.17,-391.17,BB 20 SMA Xover Mtm,['HCP', 'PCLN', 'AMZN']
HCP,SHORT,2013-10-04,39.42,375,No-Exit,0.0,0.0,2013-10-17,42.35,-1098.75,-1098.75,BB 20 SMA Xover Mtm,['PCLN', 'AMZN']
AMZN,SHORT,2013-10-08,306.93,41,No-Exit,0.0,0.0,2013-10-18,319.36,-509.63,-509.63,BB 20 SMA Xover Mtm,['PCLN']
PCLN,SHORT,2013-10-09,988.15,3,No-Exit,0.0,0.0,2013-10-21,1071.91,-251.28,-251.28,BB 20 SMA Xover Mtm,[]
DTV,SHORT,2013-12-17,65.09,219,No-Exit,0.0,0.0,2013-12-30,68.05,-648.24,-648.24,BB 20 SMA Xover Mtm,['EOG', 'CPB']
FSLR,LONG,2014-01-03,58.01,22,No-Exit,0.0,0.0,2014-01-06,54.09,-86.24,-86.24,BB 20 SMA Xover Mtm,['EOG', 'CPB']
