Date,Open,High,Low,Close,Volume,Adj Close
2007-03-12,21.00,21.21,20.70,21.08,958500,21.08
2007-03-09,21.50,21.50,20.87,21.06,955200,21.06
2007-03-08,21.21,21.63,21.21,21.24,902900,21.24
2007-03-07,21.50,21.60,21.07,21.18,1228500,21.18
2007-03-06,21.25,21.91,20.91,21.44,2019000,21.44
2007-03-05,22.01,22.16,21.05,21.06,2443000,21.06
2007-03-02,22.83,23.00,22.27,22.29,1153300,22.29
2007-03-01,22.36,23.04,22.10,22.83,1775600,22.83
2007-02-28,22.11,22.91,22.09,22.53,1269000,22.53
2007-02-27,22.77,22.85,22.10,22.10,1788600,22.10
2007-02-26,23.71,23.82,21.50,23.13,888100,23.13
2007-02-23,23.76,23.85,23.50,23.53,1196500,23.53
2007-02-22,23.42,23.88,23.42,23.75,1254700,23.75
2007-02-21,23.52,23.56,23.22,23.39,9257400,23.39
2007-02-20,22.95,23.60,22.93,23.51,1755800,23.51
2007-02-16,22.52,22.91,22.38,22.87,1504700,22.87
2007-02-15,22.48,22.70,22.41,22.50,1183800,22.50
2007-02-14,22.90,23.19,22.20,22.60,5167800,22.60
2007-02-13,23.23,23.25,22.83,22.90,691700,22.90
2007-02-12,23.03,23.47,22.99,23.13,1017100,23.13
2007-02-09,23.78,23.78,23.08,23.11,1123600,23.11
2007-02-08,23.48,23.83,23.11,23.75,2791700,23.75
2007-02-07,22.25,23.06,22.23,22.90,1603400,22.90
2007-02-06,22.50,22.67,22.16,22.32,2257900,22.32
2007-02-05,23.00,23.00,22.54,22.60,796100,22.60
2007-02-02,22.75,23.08,22.70,22.84,1409200,22.84
2007-02-01,22.88,23.10,22.65,22.73,1126900,22.73
2007-01-31,22.78,23.13,22.70,22.81,1465200,22.81
2007-01-30,22.64,22.96,22.55,22.93,1255600,22.93
2007-01-29,22.26,22.76,22.06,22.55,3108800,22.55
2007-01-26,23.56,23.60,22.75,23.15,1981400,23.15
2007-01-25,23.91,24.25,22.72,23.25,9198500,23.25
2007-01-24,21.90,23.00,21.30,22.75,6317200,22.75
2007-01-23,21.80,22.33,21.70,21.76,2891300,21.76
2007-01-22,22.85,22.97,21.80,21.90,2656500,21.90
2007-01-19,22.22,22.82,22.20,22.56,1736000,22.56
2007-01-18,22.76,22.98,22.17,22.25,1614100,22.25
2007-01-17,22.82,23.05,22.64,22.83,2172000,22.83
2007-01-16,24.25,24.40,22.70,22.74,4304900,22.74
2007-01-12,23.86,23.88,22.69,22.71,3167300,22.71
2007-01-11,23.96,24.55,23.88,24.24,1304300,24.24
2007-01-10,23.97,24.25,23.88,24.07,1635500,24.07
2007-01-09,23.99,24.08,23.52,23.99,1515900,23.99
2007-01-08,24.82,24.89,23.57,23.83,2620700,23.83
2007-01-05,25.34,25.34,24.45,24.81,2170100,24.81
2007-01-04,26.41,26.80,25.10,25.35,2279900,25.35
2007-01-03,26.00,26.77,25.74,26.61,2348700,26.61
