GILD,LONG,2014-10-27,112.15,1066,No-Exit,0,0,No-Exit,0,0,2014-11-05,106.53,-5990.92,-5990.92,-5990.92,BB Spread,['IWM'],,,,
IWM,LONG,2014-10-29,113.94,53,No-Exit,0,0,2014-10-31,115.1,61.73,2014-11-14,115.97,107.77,61.73,107.77,BB Spread,[],,,,
QIHU,LONG,2014-11-26,75.07,1475,No-Exit,0,0,2014-11-26,75.82,1106.25,2014-11-28,74.44,-929.25,1106.25,1106.25,BB Spread,[],,,,
IWM,SHORT,2007-10-22,73.33,1290,No-Exit,0,0,No-Exit,0,0,2007-10-23,75.93,-3360.29,-3360.29,-3360.29,BB Spread,[],,,,
AAPL,SHORT,2007-11-12,22.18,4171,2007-11-12,22.36,-745.03,2007-11-12,21.96,932.58,2007-11-13,21.76,1754.56,-745.03,1754.56,BB Spread,[],,,,
GOOGL,SHORT,2008-01-07,326.97,131,2008-01-07,326.97,0,2008-01-07,323.7,428.33,2008-01-08,326.5,61.57,428.33,428.33,BB Spread,['AAPL'],,,,
AAPL,SHORT,2008-01-07,24.17,1970,No-Exit,0,0,2008-01-07,23.92,483.02,2008-01-10,24.34,-334.9,483.02,483.02,BB Spread,[],,,,
EEM,SHORT,2008-01-16,42.34,2225,No-Exit,0,0,2008-01-16,41.92,942.12,2008-01-24,40.2,4767.07,942.12,4767.07,BB Spread,[],,,,
GOOGL,SHORT,2008-03-04,225.47,436,2008-03-04,225.47,0,2008-03-04,223.22,983.07,2008-03-05,222.62,1242.6,983.07,1242.6,BB Spread,[],,,,
FCX,SHORT,2008-03-20,34.29,2851,No-Exit,0,0,2008-03-20,33.94,977.5,2008-03-25,37.49,-9133.54,977.5,977.5,BB Spread,[],,,,
BIDU,SHORT,2008-05-23,33.05,2850,No-Exit,0,0,2008-05-23,32.72,950.99,2008-05-28,34.5,-4132.5,950.99,950.99,BB Spread,[],,,,
IR,SHORT,2008-06-10,35.58,2403,No-Exit,0,0,2008-06-11,35.22,865.62,2008-06-16,36.36,-1883.19,865.62,865.62,BB Spread,[],,,,
AAPL,SHORT,2008-06-23,23.32,3794,No-Exit,0,0,No-Exit,0,0,2008-06-25,23.61,-1084.62,-1084.62,-1084.62,BB Spread,[],,,,
GS,SHORT,2008-07-14,147.85,569,2008-07-14,154.36,-3704.19,2008-07-14,146.32,873.09,2008-07-16,154.36,-3704.19,-3704.19,-3704.19,BB Spread,['XLE'],,,,
GOOGL,SHORT,2008-07-21,240.22,318,2008-07-21,240.22,0,2008-07-21,237.82,763.9,2008-07-22,233.5,2136.96,763.9,2136.96,BB Spread,['XLE'],,,,
