Ticker,Date,Open,High,Low,Close,Volume,Dividend,Split
WHR,06/22/2007,114.77,115.33,112.75,112.98,741600.0,0.0,1.0
WHR,06/25/2007,113.1,114.52,112.53,112.83,798500.0,0.0,1.0
WHR,06/26/2007,112.97,113.35,111.0,111.0,808700.0,0.0,1.0
WHR,06/27/2007,110.12,112.77,110.09,112.65,635600.0,0.0,1.0
WHR,06/28/2007,112.7,113.6,111.6,112.55,743200.0,0.0,1.0
WHR,06/29/2007,112.59,113.25,110.3,111.2,751900.0,0.0,1.0
WHR,07/02/2007,111.99,113.17,111.4,112.2,704800.0,0.0,1.0
WHR,07/03/2007,112.29,113.26,112.03,112.36,265100.0,0.0,1.0
WHR,07/05/2007,112.36,112.8,111.42,112.09,440400.0,0.0,1.0
WHR,07/06/2007,111.39,114.05,111.39,113.92,548200.0,0.0,1.0
WHR,07/09/2007,114.21,114.61,112.43,112.45,614300.0,0.0,1.0
WHR,07/10/2007,111.4,111.74,107.62,107.73,1483100.0,0.0,1.0
WHR,07/11/2007,107.74,110.31,106.64,108.95,1380300.0,0.0,1.0
WHR,07/12/2007,109.37,111.18,108.95,111.09,953600.0,0.0,1.0
WHR,07/13/2007,111.0,111.63,109.78,111.31,725700.0,0.0,1.0
WHR,07/16/2007,111.1,113.51,110.96,111.92,1606400.0,0.0,1.0
WHR,07/17/2007,112.57,115.9,112.31,115.0,1820900.0,0.0,1.0
WHR,07/18/2007,114.02,114.64,113.41,114.47,950400.0,0.0,1.0
WHR,07/19/2007,114.85,116.79,114.17,116.66,1268700.0,0.0,1.0
WHR,07/20/2007,114.3,115.47,110.1,110.43,2584100.0,0.0,1.0
WHR,07/23/2007,108.54,112.64,101.61,112.22,1227800.0,0.0,1.0
WHR,07/24/2007,110.25,112.11,108.75,109.0,1338100.0,0.0,1.0
WHR,07/25/2007,110.58,110.58,107.4,109.8,1115800.0,0.0,1.0
WHR,07/26/2007,108.68,109.0,103.6,104.71,1934100.0,0.0,1.0
WHR,07/27/2007,103.94,105.94,102.56,102.63,1249100.0,0.0,1.0
WHR,07/30/2007,102.6,103.27,100.06,102.59,1265000.0,0.0,1.0
WHR,07/31/2007,103.8,105.4,102.11,102.11,1195100.0,0.0,1.0
WHR,08/01/2007,101.6,102.09,98.71,100.35,1881300.0,0.0,1.0
WHR,08/02/2007,100.8,101.89,99.91,100.84,971700.0,0.0,1.0
WHR,08/03/2007,100.96,102.1,97.77,97.77,1099200.0,0.0,1.0
WHR,08/06/2007,98.4,99.96,96.58,98.96,1095500.0,0.0,1.0
WHR,08/07/2007,98.46,100.73,97.78,98.84,1186700.0,0.0,1.0
WHR,08/08/2007,100.3,102.16,99.34,99.78,1621200.0,0.0,1.0
WHR,08/09/2007,98.98,98.98,94.34,96.78,2234400.0,0.0,1.0
WHR,08/10/2007,95.5,95.95,72.1,94.31,1786900.0,0.0,1.0
WHR,08/13/2007,94.87,96.74,93.92,93.98,1177100.0,0.0,1.0
WHR,08/14/2007,94.29,94.49,91.25,91.61,1372200.0,0.0,1.0
WHR,08/15/2007,90.86,93.23,89.19,89.25,1532800.0,0.0,1.0
WHR,08/16/2007,89.25,93.89,87.07,92.8,1810100.0,0.0,1.0
WHR,08/17/2007,95.6,97.77,90.9,93.63,1425000.0,0.0,1.0
WHR,08/20/2007,93.86,94.8,93.5,94.62,761200.0,0.0,1.0
WHR,08/21/2007,94.51,96.04,94.14,95.29,520500.0,0.0,1.0
WHR,08/22/2007,96.3,97.05,95.71,96.71,627200.0,0.0,1.0
WHR,08/23/2007,97.52,97.69,96.27,96.96,580200.0,0.0,1.0
WHR,08/24/2007,96.82,98.41,96.33,98.07,450000.0,0.0,1.0
WHR,08/27/2007,97.98,98.93,97.65,98.21,628600.0,0.0,1.0
WHR,08/28/2007,97.57,98.0,93.41,93.46,975600.0,0.0,1.0
WHR,08/29/2007,93.76,95.74,93.19,95.44,622400.0,0.43,1.0
WHR,08/30/2007,94.4,96.0,94.06,95.15,443500.0,0.0,1.0
WHR,08/31/2007,95.89,97.18,94.67,96.41,647600.0,0.0,1.0
WHR,09/04/2007,96.75,97.26,95.57,96.76,679400.0,0.0,1.0
WHR,09/05/2007,95.91,96.13,94.62,95.09,689000.0,0.0,1.0
WHR,09/06/2007,95.3,96.68,94.08,96.07,681300.0,0.0,1.0
WHR,09/07/2007,94.66,95.17,92.25,92.77,823300.0,0.0,1.0
WHR,09/10/2007,93.2,93.72,90.21,90.46,976100.0,0.0,1.0
WHR,09/11/2007,91.17,92.11,90.1,90.4,968800.0,0.0,1.0
WHR,09/12/2007,89.79,91.46,89.79,90.24,930000.0,0.0,1.0
WHR,09/13/2007,91.19,93.0,89.87,91.57,922900.0,0.0,1.0
WHR,09/14/2007,91.02,91.71,90.57,91.2,528400.0,0.0,1.0
WHR,09/17/2007,90.98,92.1,90.55,91.28,392100.0,0.0,1.0
WHR,09/18/2007,91.36,94.08,90.23,93.98,1083700.0,0.0,1.0
WHR,09/19/2007,94.5,98.33,94.5,95.12,1508200.0,0.0,1.0
WHR,09/20/2007,94.99,95.01,92.13,93.0,1252100.0,0.0,1.0
WHR,09/21/2007,93.19,93.25,91.78,92.21,980200.0,0.0,1.0
WHR,09/24/2007,92.0,92.6,91.17,91.3,850600.0,0.0,1.0
WHR,09/25/2007,90.24,90.27,86.57,86.83,2903500.0,0.0,1.0
WHR,09/26/2007,87.1,87.67,85.77,86.7,1318800.0,0.0,1.0
WHR,09/27/2007,86.83,88.89,86.11,88.27,1256700.0,0.0,1.0
WHR,09/28/2007,88.1,91.54,87.91,89.1,2171900.0,0.0,1.0
WHR,10/01/2007,90.0,92.34,89.18,92.02,1088700.0,0.0,1.0
WHR,10/02/2007,92.25,93.28,91.39,92.07,939100.0,0.0,1.0
WHR,10/03/2007,91.6,94.72,91.59,93.36,1005000.0,0.0,1.0
WHR,10/04/2007,93.33,93.71,91.37,91.93,572400.0,0.0,1.0
WHR,10/05/2007,92.71,94.85,92.53,94.29,755000.0,0.0,1.0
