AMZN,LONG,2013-11-25,374.59,87,No-Exit,0,0,2013-11-25,376.59,174,2013-12-04,383.5,775.17,174,['AAPL'],,,,,
AAPL,LONG,2013-11-27,75.04,284,No-Exit,0,0,2013-11-27,75.32,79.47,2013-12-11,78.77,1059.52,79.47,[],,,,,
IWM,LONG,2013-12-23,112.49,295,No-Exit,0,0,2013-12-26,114.46,580.26,2014-01-06,112.54,14.75,580.26,[],,,,,
CF,LONG,2014-01-09,230.45,142,No-Exit,0,0,2014-01-09,232.41,278.36,2014-01-22,241,1498.1,278.36,['V'],,,,,
V,LONG,2014-01-21,232.64,90,No-Exit,0,0,No-Exit,0,0,2014-01-24,224.71,-713.74,-713.74,['VIAB'],,,,,
VIAB,LONG,2014-02-18,84.68,237,No-Exit,0,0,2014-02-20,86.65,466.55,2014-02-25,85.26,137.46,466.55,['IWM', 'UNH'],,,,
UNH,LONG,2014-02-18,72.87,460,No-Exit,0,0,2014-02-24,74.84,905.11,2014-03-06,76.43,1637.6,905.11,['IWM'],,,,,
IWM,LONG,2014-02-25,115.69,114,No-Exit,0,0,2014-03-04,117.66,225.09,2014-03-07,117.72,231.42,225.09,[],,,,,
NXPI,LONG,2014-04-02,61.99,513,No-Exit,0,0,No-Exit,0,0,2014-04-04,59.64,-1205.55,-1205.55,[],,,,,
FLT,LONG,2014-05-05,118.9,279,2014-05-05,118.81,-25.11,2014-05-05,120.9,558,2014-05-07,118.81,-25.11,-25.11,['GD'],,,,,
GD,LONG,2014-05-05,110.82,176,No-Exit,0,0,No-Exit,0,0,2014-05-08,110.31,-89.76,-89.76,[],,,,,
AMZN,LONG,2014-05-27,314.41,69,No-Exit,0,0,No-Exit,0,0,2014-05-28,309.5,-338.79,-338.79,['VIAB', 'IWM'],,,,
VIAB,LONG,2014-05-27,84.24,154,No-Exit,0,0,2014-06-05,86.22,304.19,2014-06-10,86.25,309.54,304.19,['IWM'],,,,,
IWM,LONG,2014-05-27,111.99,242,No-Exit,0,0,2014-06-06,113.97,479.05,2014-06-13,113.72,418.66,479.05,[],,,,,
