Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,StopLoss-Exit-Date,StopLoss-Exit-Price,StopLoss-Exit-PorL,Profit-Exit-Date,Profit-Exit-Price,Profit-Exit-PorL,Exit-Date,Exit-Price,PorL,Actual-PorL,Current-Pos,,,,,
CP,LONG,2010-07-23,54.72,467,No-Exit,0,0,No-Exit,0,0,2010-07-27,56.22,699.81,699.81,['UNP', 'IWM', 'GD'],,,
IWM,LONG,2010-07-26,61.46,258,No-Exit,0,0,No-Exit,0,0,2010-07-29,61.03,-110.94,-110.94,['UNP', 'GD'],,,,
UNP,LONG,2010-07-26,34.14,264,No-Exit,0,0,No-Exit,0,0,2010-07-30,33.59,-147.49,-147.49,['GD'],,,,,
ODFL,SHORT,2010-08-12,15.72,1022,No-Exit,0,0,No-Exit,0,0,2010-08-13,16.2,-490.56,-490.56,['NFLX', 'GD'],,,,
AAPL,SHORT,2010-08-16,33.49,473,No-Exit,0,0,No-Exit,0,0,2010-08-17,33.83,-159.97,-159.97,['NFLX', 'GD', 'ODFL'],,,
ODFL,SHORT,2010-08-16,15.71,577,2010-08-16,16.19,-276.32,No-Exit,0,0,2010-08-17,16.2,-284.65,-276.32,['NFLX', 'GD'],,,,
NFLX,LONG,2010-08-11,126.68,201,No-Exit,0,0,2010-08-12,128.68,402,2010-08-23,127.18,100.5,402,['GOOGL', 'IWM', 'GD', 'CP'],,
IWM,SHORT,2010-08-20,57.16,172,No-Exit,0,0,No-Exit,0,0,2010-08-25,56.4,130.72,130.72,['UNP', 'GOOGL', 'GD', 'FDX', 'CP'],
CP,SHORT,2010-08-20,53.01,70,No-Exit,0,0,No-Exit,0,0,2010-08-27,54.87,-130.51,-130.51,['UNP', 'GOOGL', 'GD', 'V', 'FDX'],
UNP,SHORT,2010-08-24,32.97,748,No-Exit,0,0,No-Exit,0,0,2010-08-30,33.88,-679.46,-679.46,['GOOGL', 'GD', 'V', 'FDX'],,
FDX,SHORT,2010-08-24,78.24,172,No-Exit,0,0,2010-08-24,76.29,335.34,2010-09-01,77.96,48.11,335.34,['GOOGL', 'GD', 'V'],,,
GD,SHORT,2010-08-20,53.71,131,No-Exit,0,0,2010-08-24,51.92,233.87,2010-09-01,51.26,320.8,233.87,['GOOGL', 'GD', 'V'],,,
GOOGL,SHORT,2010-08-20,233.53,40,No-Exit,0,0,2010-08-20,232.53,40,2010-09-01,227.49,241.6,40,['GD', 'V'],,,,
V,SHORT,2010-08-27,67.41,352,No-Exit,0,0,No-Exit,0,0,2010-09-02,68.67,-442.09,-442.09,['GD', 'AMZN'],,,,
AMZN,LONG,2010-09-02,132.8,187,No-Exit,0,0,2010-09-02,134.8,374,2010-09-20,147.82,2808.74,374,['MA', 'GOOGL', 'AAPL', 'GD'],,
AAPL,LONG,2010-09-09,35.85,446,No-Exit,0,0,2010-09-13,36.12,120.67,2010-09-22,38.24,1066.1,120.67,['MA', 'GOOGL', 'GD'],,,
GD,LONG,2010-09-13,55.13,177,No-Exit,0,0,2010-09-21,56.91,315.99,2010-09-23,55.65,91.64,315.99,['MA', 'GOOGL', 'GD'],,,
GOOGL,LONG,2010-09-20,246.25,39,No-Exit,0,0,2010-09-20,247.25,39,2010-09-28,264.11,696.54,39,['MA', 'GD', 'V'],,,
MA,LONG,2010-09-20,21.14,251,No-Exit,0,0,2010-09-20,21.34,49.47,2010-10-01,21.99,213.35,49.47,['GD', 'V'],,,,
V,LONG,2010-09-24,69.41,304,No-Exit,0,0,2010-09-29,71.35,588.18,2010-10-07,71.52,641.18,588.18,['GD'],,,,,
GOOGL,LONG,2010-10-18,300.92,55,No-Exit,0,0,2010-10-18,301.92,55,2010-10-22,305.44,248.6,55,['CF', 'GD'],,,,
CF,LONG,2010-10-11,106.43,254,No-Exit,0,0,2010-10-11,108.34,485.04,2010-10-22,112.51,1544.32,485.04,['GD'],,,,,
AMZN,LONG,2010-11-26,178.09,154,No-Exit,0,0,2010-11-29,180.09,308,2010-12-02,176.05,-314.16,308,['GD'],,,,,
AAPL,LONG,2010-12-09,43.58,627,No-Exit,0,0,2010-12-13,43.85,169.64,2010-12-14,43.43,-92.22,169.64,['MA', 'GD', 'V'],,,
MA,LONG,2010-12-13,25.14,382,2010-12-13,24.91,-87.86,2010-12-13,25.34,75.34,2010-12-15,24.91,-87.86,-87.86,['GD', 'V'],,,,
V,LONG,2010-12-13,77.97,215,No-Exit,0,0,No-Exit,0,0,2010-12-15,76.02,-419.25,-419.25,['GD'],,,,,
AAPL,LONG,2011-01-04,44.97,602,No-Exit,0,0,2011-01-06,45.24,162.87,2011-01-14,46.61,986.34,162.87,['GD', 'FDX'],,,,
FDX,LONG,2011-01-13,93.2,177,No-Exit,0,0,No-Exit,0,0,2011-01-20,91.44,-311.2,-311.2,['MA'],,,,,
MA,LONG,2011-01-18,23.4,889,No-Exit,0,0,No-Exit,0,0,2011-01-20,23.06,-299.05,-299.05,[],,,,,
WHR,LONG,2011-01-28,83.4,326,No-Exit,0,0,No-Exit,0,0,2011-01-31,80.47,-955.18,-955.18,[],,,,,
MA,LONG,2011-02-04,24.36,1104,No-Exit,0,0,2011-02-04,24.56,217.87,2011-02-09,24.52,181.01,217.87,['V'],,,,,
V,LONG,2011-02-08,72.06,231,No-Exit,0,0,2011-02-14,74,447.82,2011-02-22,72.21,33.81,447.82,[],,,,,
WHR,SHORT,2011-03-02,73.24,364,No-Exit,0,0,No-Exit,0,0,2011-03-03,74.38,-414.18,-414.18,['NFLX', 'GD'],,,,
GD,SHORT,2011-03-02,67.51,233,No-Exit,0,0,No-Exit,0,0,2011-03-03,69.55,-475.32,-475.32,['NFLX'],,,,,
NFLX,SHORT,2011-03-01,204.63,131,No-Exit,0,0,2011-03-01,202.63,262,2011-03-04,210.26,-737.53,262,[],,,,,
NFLX,LONG,2011-03-24,231.98,114,No-Exit,0,0,2011-03-28,233.98,228,2011-03-31,237.28,604.2,228,['IWM', 'AMZN'],,,,
IWM,LONG,2011-03-30,78.44,208,No-Exit,0,0,2011-04-05,80.32,392.32,2011-04-08,79.76,275.47,392.32,['V', 'AMZN'],,,,
AMZN,LONG,2011-03-30,177.78,55,No-Exit,0,0,2011-03-30,179.78,110,2011-04-11,184.21,353.65,110,['V'],,,,,
V,LONG,2011-04-05,73.28,227,No-Exit,0,0,2011-04-08,75.22,440.97,2011-04-14,74.85,356.39,440.97,[],,,,,
AAPL,SHORT,2011-04-15,44.89,600,No-Exit,0,0,2011-04-15,44.62,162.33,2011-04-19,45.46,-342,162.33,[],,,,,
GD,LONG,2011-05-04,67.89,395,No-Exit,0,0,No-Exit,0,0,2011-05-05,66.72,-461.91,-461.91,[],,,,,
CF,LONG,2011-05-10,137.29,194,No-Exit,0,0,No-Exit,0,0,2011-05-11,133.5,-735.64,-735.64,[],,,,,
GOOGL,SHORT,2011-05-17,257.71,61,2011-05-17,261.18,-211.37,No-Exit,0,0,2011-05-19,266.37,-527.65,-211.37,['IWM'],,,,,
IWM,SHORT,2011-05-17,76.98,341,No-Exit,0,0,No-Exit,0,0,2011-05-19,79.09,-717.14,-717.14,[],,,,,
MA,SHORT,2011-05-25,26.46,928,2011-05-25,26.87,-376.77,No-Exit,0,0,2011-05-26,27.05,-545.14,-376.77,['GOOGL', 'GD', 'FDX'],,,
GOOGL,SHORT,2011-05-23,258.3,99,No-Exit,0,0,2011-05-23,257.3,99,2011-05-26,260.15,-183.15,99,['GD', 'FDX'],,,,
FDX,SHORT,2011-05-23,90.61,169,No-Exit,0,0,No-Exit,0,0,2011-05-27,89.92,117.46,117.46,['GD'],,,,,
GD,SHORT,2011-05-24,64.74,391,No-Exit,0,0,No-Exit,0,0,2011-05-31,66.57,-713.96,-713.96,[],,,,,
WHR,LONG,2011-07-01,75.3,209,No-Exit,0,0,No-Exit,0,0,2011-07-08,74.89,-84.66,-84.66,['NFLX', 'GOOGL', 'AMZN'],,,
GOOGL,LONG,2011-07-06,267.06,22,No-Exit,0,0,2011-07-06,268.06,22,2011-07-08,264.44,-57.64,22,['NFLX', 'AMZN'],,,,
AMZN,LONG,2011-06-24,194.66,130,No-Exit,0,0,2011-06-27,196.66,260,2011-07-12,211.93,2245.1,260,['NFLX'],,,,,
NFLX,LONG,2011-07-06,291.43,33,No-Exit,0,0,2011-07-07,293.43,66,2011-07-14,290.64,-26.07,66,[],,,,,
