Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,Portfolio-Value-Pre,Portfolio-Cash-Pre,Portfolio-Value-Post,Portfolio-Cash-Post,Intra-Day-Exit-PorL,Intra-Day-Exit-Date,Exit-Date,Exit-Price,Portfolio-Value-Pre,Portfolio-Cash-Pre,Portfolio-Value-Post,Portfolio-Cash-Post,PorL,Current-Pos
GOOGL,LONG,2013-03-05,414.46,3,71845.36,71845.36,71859.87,70601.96,6.0,2013-03-05,2013-03-07,415.38,71845.93,70598.86,71845.00,71845.00,2.74,[]
VIAB,LONG,2013-04-09,64.04,49,71845.00,71845.00,71785.77,68707.04,11.7765188056,2013-04-09,2013-04-10,62.01,71785.77,68707.04,71745.74,71745.74,-99.27,[]
FDX,LONG,2013-05-08,98.91,31,71745.74,71745.74,71811.87,68679.53,62.0,2013-05-08,2013-05-09,100.67,71811.87,68679.53,71800.19,71800.19,54.46,[]
CF,LONG,2013-05-10,190.86,16,71800.19,71800.19,71777.19,68746.42,4.04164759507,2013-05-10,2013-05-13,188.15,71777.19,68746.42,71756.82,71756.82,-43.37,[]
CP,SHORT,2013-06-06,119.13,26,71756.82,71756.82,71635.15,71635.15,-52.0,2013-06-06,2013-06-07,124.31,71635.15,71635.15,71622.08,71622.08,-134.74,[]
AMZN,LONG,2013-07-09,291.87,9,71622.08,71622.08,71619.02,68995.25,6.3,2013-07-09,2013-07-10,290.38,71619.02,68995.25,71602.88,71296.16,-13.41,['FDX']
FDX,LONG,2013-07-10,104.17,3,71619.02,68995.25,71620.43,68682.74,4.53624325831,2013-07-10,2013-07-12,101.31,71607.04,71296.16,71600.11,71600.11,-8.57,[]
CF,LONG,2013-07-30,197.61,14,71600.11,71600.11,71522.01,68833.57,6.41142973815,2013-07-30,2013-07-31,191.03,71522.01,68833.57,71507.99,71507.99,-92.12,[]
UNH,SHORT,2013-10-21,66.60,41,71507.99,71507.99,71498.05,71498.05,0.0,2013-10-21,0.0,2013-10-21,2013-10-22,67.58,71498.05,71498.05,71467.81,71467.81,-40.18,[]
AGN,LONG,2014-01-09,179.64,14,71467.81,71467.81,71472.01,68952.85,28.0,2014-01-09,2014-01-13,181.64,71519.33,68952.85,71495.81,71495.81,28.00,[]
V,LONG,2014-01-21,232.64,10,71495.81,71495.81,71471.39,69169.37,11.0172772611,2014-01-21,2014-01-23,229.93,71481.91,69169.37,71470.94,71171.14,-27.10,['GD']
GD,LONG,2014-01-23,99.19,3,71481.91,69169.37,71437.09,68871.80,2.96621136897,2014-01-23,2014-01-24,97.88,71470.94,71171.14,71464.78,71464.78,-3.93,[]
WHR,SHORT,2014-01-27,142.62,5,71464.78,71464.78,71494.63,71494.63,-10.0,2014-01-27,2014-01-28,140.62,71494.63,71494.63,71460.27,71460.27,10.00,['FDX', 'AMZN']
AMZN,SHORT,2014-01-27,387.07,2,71464.78,71464.78,71466.36,71466.36,-4.0,2014-01-27,2014-01-28,391.13,71494.63,71494.63,71466.87,71466.87,-8.12,['FDX']
FDX,SHORT,2014-01-27,133.71,6,71464.78,71464.78,71480.84,71480.84,0.0,2014-01-27,12.0,2014-01-27,2014-01-28,131.71,71494.63,71494.63,71478.66,71478.66,12.00,[]
VRX,LONG,2014-02-19,147.40,16,71478.66,71478.66,71440.58,69120.26,0.16,2014-02-19,2014-02-21,146.09,71488.26,69120.26,71457.70,71457.70,-20.96,[]
NFLX,SHORT,2014-03-17,423.47,5,71457.70,71457.70,71461.45,71461.45,-10.0,2014-03-17,2014-03-19,421.47,71473.80,71473.80,71467.70,71467.70,10.00,[]
AAPL,SHORT,2014-04-08,73.58,32,71467.70,71467.70,71464.68,71464.68,0.0,2014-04-08,-13.76,2014-04-08,2014-04-09,74.01,71464.68,71464.68,71453.94,71453.94,-13.76,[]
NFLX,LONG,2014-05-20,370.20,6,71453.94,71453.94,71462.76,69232.74,12.0,2014-05-20,2014-05-28,397.20,71625.60,69232.74,71615.94,71615.94,162.00,[]
UNH,LONG,2014-08-28,86.18,27,71615.94,71615.94,71601.68,69289.08,3.41802916304,2014-08-28,2014-09-02,85.69,71610.79,69289.08,71602.71,71602.71,-13.23,[]
AMZN,SHORT,2014-09-16,321.07,7,71602.71,71602.71,71555.88,71555.88,-14.0,2014-09-16,2014-09-19,327.60,71575.20,71575.20,71557.00,71557.00,-45.71,[]
VIAB,SHORT,2014-09-24,76.89,29,71557.00,71557.00,71531.24,71531.24,0.0,2014-09-24,0.0,2014-09-24,0.0,2014-09-25,-6.67,2014-09-26,2014-09-30,76.77,71569.06,71569.06,71560.48,71560.48,3.48,[]
GOOGL,SHORT,2014-10-02,578.00,1,71560.48,71560.48,71535.40,71535.40,-2.0,2014-10-02,2014-10-03,584.10,71535.40,71535.40,71495.08,71495.08,-6.10,['URI']
URI,SHORT,2014-10-02,103.23,10,71560.48,71560.48,71538.28,71538.28,-20.0,2014-10-02,2014-10-03,106.13,71535.40,71535.40,71525.38,71525.38,-29.00,[]
GOOGL,SHORT,2014-10-08,573.90,3,71525.38,71525.38,71495.86,71495.86,-6.0,2014-10-08,2014-10-10,571.90,71534.65,71534.65,71531.38,71531.38,6.00,[]
AGN,SHORT,2014-10-14,221.35,9,71531.38,71531.38,71524.90,71524.90,-18.0,2014-10-14,2014-10-16,219.35,71568.37,71568.37,71549.38,71549.38,18.00,[]
OCR,LONG,2014-10-27,67.05,2,71570.53,69583.03,71577.47,69448.93,0.141624064398,2014-10-27,2014-10-29,65.82,71630.18,69448.93,71627.32,69580.57,-2.46,['GD']
GD,LONG,2014-10-24,131.09,15,71549.38,71549.38,71570.53,69583.03,21.75,2014-10-24,2014-11-07,141.06,71703.97,69580.57,71696.47,71696.47,149.55,[]
AGN,LONG,2014-11-19,269.86,8,71696.47,71696.47,71665.91,69537.59,3.84,2014-11-19,2014-11-20,264.58,71665.91,69537.59,71654.23,71654.23,-42.24,[]
