Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,StopLoss-Exit-Date,StopLoss-Exit-Price,StopLoss-Exit-PorL,Profit-Exit-Date,Profit-Exit-Price,Profit-Exit-PorL,Exit-Date,Exit-Price,PorL,Actual-PorL,,Strategy,Current-Pos,,,,,,,
HK_0941,SHORT,2008-11-07,63.75,151,2008-11-07,67.55,-573.8,No-Exit,0,0,2008-11-10,73,-1396.75,-573.8,-573.8,BB 20 SMA Xover Mtm,['HK_0683'],,,,,,,
HK_0700,SHORT,2008-11-19,46.73,231,No-Exit,0,0,2008-11-19,46.25,110.76,2008-12-03,45.61,258.72,110.76,258.72,BB 20 SMA Xover Mtm,['HK_0683'],,,,,,,
HK_0941,SHORT,2008-12-24,73,129,No-Exit,0,0,No-Exit,0,0,2008-12-30,78.5,-709.5,-709.5,-709.5,BB 20 SMA Xover Mtm,['HK_0683', 'HK_0700'],,,,,,
HK_0700,SHORT,2009-02-05,45.34,233,No-Exit,0,0,2009-02-05,44.88,107.18,2009-02-06,46.47,-263.29,107.18,107.18,BB 20 SMA Xover Mtm,['HK_0683'],,,,,,,
HK_0941,SHORT,2009-02-18,69.89,135,No-Exit,0,0,2009-02-19,69.19,94.77,2009-02-25,72.18,-309.15,94.77,94.77,BB 20 SMA Xover Mtm,['HK_0683'],,,,,,,
HK_0914,SHORT,2009-03-09,35.14,298,No-Exit,0,0,2009-03-09,34.78,108.17,2009-03-10,37.09,-581.1,108.17,108.17,BB 20 SMA Xover Mtm,['HK_0683'],,,,,,,
HK_0700,SHORT,2009-06-19,84.79,108,2009-06-19,86.66,-201.96,No-Exit,0,0,2009-06-22,91,-670.68,-201.96,-201.96,BB 20 SMA Xover Mtm,['HK_0683', 'HK_0941'],,,,,,
HK_0700,SHORT,2009-07-03,88.65,101,No-Exit,0,0,2009-07-06,87.76,90.39,2009-07-07,90.52,-188.87,90.39,90.39,BB 20 SMA Xover Mtm,['HK_0683', 'HK_0941'],,,,,,
HK_0363,SHORT,2009-08-18,36.4,247,No-Exit,0,0,2009-08-18,36.04,89.91,2009-08-20,38.66,-558.22,89.91,89.91,BB 20 SMA Xover Mtm,['HK_2338', 'HK_0683', 'HK_0941', 'HK_1211'],,,,
HK_1211,SHORT,2009-08-18,42,189,No-Exit,0,0,2009-08-18,41.58,79.38,2009-08-24,44.45,-463.05,79.38,79.38,BB 20 SMA Xover Mtm,['HK_2338', 'HK_0683', 'HK_0941'],,,,,
