Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,StopLoss-Exit-Date,StopLoss-Exit-Price,StopLoss-Exit-PorL,Exit-Date,Exit-Price,PorL,Actual-PorL,Strategy,Current-Pos,,,
RIG,LONG,2010-06-21,55.45,3,No-Exit,0,0,2010-06-29,48.03,-22.26,-22.26,BB 20 SMA Xover Mtm,[],,,
QCOM,LONG,2011-04-07,54.08,13,No-Exit,0,0,2011-04-12,52.05,-26.39,-26.39,BB 20 SMA Xover Mtm,['BLK'],,,
AAPL,SHORT,2011-05-16,48.16,16,No-Exit,0,0,2011-06-01,49.84,-26.86,-26.86,BB 20 SMA Xover Mtm,['CMG'],,,
NFLX,LONG,2011-05-10,238.77,935,No-Exit,0,0,2011-05-16,238.74,-28.05,-28.05,BB 20 SMA Xover Mtm,['CMG', 'AAPL', 'BLK'],
PCLN,LONG,2010-06-17,198.87,2,No-Exit,0,0,2010-06-29,183.91,-29.92,-29.92,BB 20 SMA Xover Mtm,['RIG'],,,
NFLX,LONG,2013-03-27,192.52,3,No-Exit,0,0,2013-04-02,178.98,-40.62,-40.62,BB 20 SMA Xover Mtm,['HUM', 'CRM'],,
CMG,LONG,2011-01-14,231.94,3,No-Exit,0,0,2011-01-26,215.49,-49.35,-49.35,BB 20 SMA Xover Mtm,['AAPL'],,,
NFLX,LONG,2011-08-31,238.93,2,No-Exit,0,0,2011-09-02,208.71,-60.44,-60.44,BB 20 SMA Xover Mtm,['AAPL', 'QCOM', 'PCLN'],
FSLR,LONG,2014-01-03,58.01,22,No-Exit,0,0,2014-01-06,54.09,-86.24,-86.24,BB 20 SMA Xover Mtm,['EOG', 'CPB'],,
AGN,SHORT-SPY-NULL,2013-01-02,85.14,74,No-Exit,0,0,2013-01-25,86.47,-98.42,0,BB 20 SMA Xover Mtm,['EQT'],,,
NFLX,LONG,2011-01-11,189.76,60,No-Exit,0,0,2011-01-20,186.82,-176.4,-176.4,BB 20 SMA Xover Mtm,['CMG'],,,
PM,LONG,2012-09-18,91.6,141,No-Exit,0,0,2012-10-01,90.27,-187.53,-187.53,BB 20 SMA Xover Mtm,['AAPL'],,,
FFIV,SHORT-SPY-NULL,2012-08-31,96.42,66,No-Exit,0,0,2012-09-07,99.73,-218.46,0,BB 20 SMA Xover Mtm,['NFLX', 'PCLN'],,
EOG,LONG,2013-12-20,83.49,156,No-Exit,0,0,2014-01-14,82.03,-227.76,-227.76,BB 20 SMA Xover Mtm,['CPB'],,,
PCLN,SHORT,2014-11-05,1086.72,8,No-Exit,0,0,2014-12-22,1117.89,-249.36,-249.36,BB 20 SMA Xover Mtm,[],,,
PCLN,SHORT,2013-10-09,988.15,3,No-Exit,0,0,2013-10-21,1071.91,-251.28,-251.28,BB 20 SMA Xover Mtm,[],,,
VLO,LONG,2008-05-20,50.19,108,No-Exit,0,0,2008-05-27,47.07,-336.96,-336.96,BB 20 SMA Xover Mtm,['AET', 'AAPL'],,
AMZN,SHORT,2014-01-27,383.72,34,No-Exit,0,0,2014-01-30,393.77,-341.7,-341.7,BB 20 SMA Xover Mtm,['CPB'],,,
AXP,SHORT,2013-06-13,73.97,2504,No-Exit,0,0,2013-06-26,74.11,-350.56,-350.56,BB 20 SMA Xover Mtm,['VLO', 'AAPL'],,
PCLN,SHORT,2008-04-29,121.7,47,No-Exit,0,0,2008-05-01,129.66,-374.12,-374.12,BB 20 SMA Xover Mtm,['AET'],,,
FDX,SHORT,2009-12-18,83.63,136,No-Exit,0,0,2010-01-12,86.44,-382.16,-382.16,BB 20 SMA Xover Mtm,['PCLN'],,,
NFLX,SHORT,2013-10-09,299.3,17,No-Exit,0,0,2013-10-14,322.31,-391.17,-391.17,BB 20 SMA Xover Mtm,['HCP', 'PCLN', 'AMZN'],
RIG,LONG-SPY-NULL,2008-10-31,80.43,124,No-Exit,0,0,2008-11-06,77.16,-405.48,0,BB 20 SMA Xover Mtm,['TAP', 'HUM'],,
AAPL,SHORT,2014-10-14,98.81,3027,No-Exit,0,0,2014-10-17,98.95,-423.78,-423.78,BB 20 SMA Xover Mtm,['JNJ'],,,
BLK,LONG,2011-03-31,200.83,55,No-Exit,0,0,2011-05-24,192.54,-455.95,-455.95,BB 20 SMA Xover Mtm,['CMG', 'AAPL'],,
NFLX,LONG,2014-05-05,344.06,20,No-Exit,0,0,2014-05-07,320.68,-467.6,-467.6,BB 20 SMA Xover Mtm,['AGN', 'MSI'],,
AMZN,SHORT,2011-09-30,218.19,535,No-Exit,0,0,2011-10-05,219.13,-502.9,-502.9,BB 20 SMA Xover Mtm,['AAPL'],,,
