Ticker,Details,Date,Open,High,Low,Close,Volume
CP,Canadian Pacific Railway Limit @ NYSE,03/03/2008,65.32,65.38,63.88,65.29,530400
CP,Canadian Pacific Railway Limit @ NYSE,03/04/2008,65.07,65.1,62.45,62.68,1140500
CP,Canadian Pacific Railway Limit @ NYSE,03/05/2008,63.11,64.42,63.11,64.08,975100
CP,Canadian Pacific Railway Limit @ NYSE,03/06/2008,64.15,64.15,61.93,62.14,581100
CP,Canadian Pacific Railway Limit @ NYSE,03/07/2008,61.82,63.2,60.35,61.28,1025800
CP,Canadian Pacific Railway Limit @ NYSE,03/10/2008,60.64,61.96,59.86,59.92,636700
CP,Canadian Pacific Railway Limit @ NYSE,03/11/2008,61.28,61.78,60.59,61.78,641800
CP,Canadian Pacific Railway Limit @ NYSE,03/12/2008,62.24,62.92,60.95,61.06,560700
CP,Canadian Pacific Railway Limit @ NYSE,03/13/2008,60.43,60.61,59.75,60.35,812200
CP,Canadian Pacific Railway Limit @ NYSE,03/14/2008,60.96,60.96,57.93,59.23,994800
CP,Canadian Pacific Railway Limit @ NYSE,03/17/2008,58.12,58.63,56.83,58.09,699755
CP,Canadian Pacific Railway Limit @ NYSE,03/18/2008,59.64,59.94,56.68,59.63,1155600
CP,Canadian Pacific Railway Limit @ NYSE,03/19/2008,59.61,59.91,56.82,56.99,699700
CP,Canadian Pacific Railway Limit @ NYSE,03/20/2008,55.96,56.88,54.5,56.58,636700
CP,Canadian Pacific Railway Limit @ NYSE,03/24/2008,57.53,59.44,56.48,58.83,554400
CP,Canadian Pacific Railway Limit @ NYSE,03/25/2008,58.9,61,58.84,60.91,636400
CP,Canadian Pacific Railway Limit @ NYSE,03/26/2008,60.94,61.25,59.36,60.8,628400
CP,Canadian Pacific Railway Limit @ NYSE,03/27/2008,60.94,61.12,59.63,59.67,447700
CP,Canadian Pacific Railway Limit @ NYSE,03/28/2008,59.8,59.86,58.86,59.02,549700
CP,Canadian Pacific Railway Limit @ NYSE,03/31/2008,58.46,58.61,57.23,57.81,737800
CP,Canadian Pacific Railway Limit @ NYSE,04/01/2008,58.77,59.02,57.95,58.97,475500
CP,Canadian Pacific Railway Limit @ NYSE,04/02/2008,59.13,59.51,58.97,59.51,498507
CP,Canadian Pacific Railway Limit @ NYSE,04/03/2008,59.41,59.94,58.87,59.88,711700
CP,Canadian Pacific Railway Limit @ NYSE,04/04/2008,59.39,60.45,59.25,59.76,574700
CP,Canadian Pacific Railway Limit @ NYSE,04/07/2008,60.42,61.41,59.93,60.47,663200
