Company,Stock Symbol
BIGLARI HOLDINGS INC BH,BH
BENCHMARK ELECTRONICS BHE,BHE
BERKSHIRE HILLS BANCORP BHLB,BHLB
SOTHEBYS BID,BID
BIOSCRIP INC BIOS,BIOS
ACTUATE CORP BIRT,BIRT
BJS RESTAURANTS INC BJRI,BJRI
BLACKROCK KELSO CAP COR BKCC,BKCC
BUCKLE INC BKE,BKE
BLACK HILLS CORP BKH,BKH
BUCKEYE TECHNOLOGIES IN BKI,BKI
BANK MUTUAL CORP BKMU,BKMU
BAKER MICHAEL CORP BKR,BKR
BARNES & NOBLE INC BKS,BKS
BANK KY FINL CORP BKYF,BKYF
BELO CORP BLC,BLC
BUILDERS FIRSTSOURCE IN BLDR,BLDR
BLACKBAUD INC BLKB,BLKB
BLOUNT INTERNATIONAL IN BLT,BLT
BIOLASE TECHNOLOGY INC BLTI,BLTI
IMMUCOR INC BLUD,BLUD
BANCO LATINOAMERICANO BLX,BLX
BADGER METER INC BMI,BMI
BIOMED REALTY TRUST INC BMR,BMR
BANK OF MARIN BANCORP BMRC,BMRC
BRYN MAWR BANK CORP BMTC,BMTC
BIOMIMETIC THERAPEUTICS BMTI,BMTI
BENEFICIAL MUTUAL INC BNCL,BNCL
BENIHANA INC BNHNA,BNHNA
BOB EVANS FARMS INC BOBE,BOBE
BODY CENTRAL CORP BODY,BODY
BOFI HLDG INC BOFI,BOFI
BACTERIN INTL HLDGS INC BONE,BONE
BON-TON STORES INC BONT,BONT
DYNAMIC MATERIALS CORP BOOM,BOOM
SEACUBE CONTAINER LEASI BOX,BOX
BIOSANTE PHARMACEUTICAL BPAX,BPAX
BOSTON PRIVATE FINANCIA BPFH,BPFH
BRIDGEPOINT ED INC BPI,BPI
BPZ RESOURCES INC BPZ,BPZ
BRADY CORP BRC,BRC
BROOKLINE BANCORP INC BRKL,BRKL
BROOKS AUTOMATION INC BRKS,BRKS
BIO-REFERENCE LABS INC BRLI,BRLI
BRISTOW GROUP INC BRS,BRS
BERRY PETROLEUM CO BRY,BRY
BROADSOFT INC BSFT,BSFT
SIERRA BANCORP BSRR,BSRR
BIOSPECIFICS TECHNO COR BSTC,BSTC
BLYTH INC BTH,BTH
BIOTIME INC BTX,BTX
FIRST BUSEY CORP BUSE,BUSE
BROADWIND ENERGY INC BWEN,BWEN
BALDWIN & LYONS INC BWINB,BWINB
BUFFALO WILD WINGS INC BWLD,BWLD
BROWN SHOE INC BWS,BWS
BANCORPSOUTH INC BXS,BXS
BOYD GAMING CORP BYD,BYD
BOISE INC BZ,BZ
BEAZER HOMES USA INC BZH,BZH
CABELAS INC CAB,CAB
CAMDEN NATIONAL CORP CAC,CAC
CASCADE BANCORP CACB,CACB
CREDIT ACCEP CORP MICH CACC,CACC
CACI INTERNATIONAL INC CACI,CACI
CADENCE PHARMACEUTICALS CADX,CADX
CAMAC ENERGY INC CAK,CAK
CHEESECAKE FACTORY INC CAKE,CAKE
CALLIDUS SOFTWARE INC CALD,CALD
CAL MAINE FOODS INC CALM,CALM
CALIPER LIFE SCIENCES CALP,CALP
CALIX INC CALX,CALX
CAI INTERNATIONAL INC CAP,CAP
AVIS BUDGET GROUP INC CAR,CAR
CASTLE A M & CO CAS,CAS
CASCADE CORP CASC,CASC
CASS INFORMATION SYSTEM CASS,CASS
CASEYS GENERAL STORES CASY,CASY
CARDTRONICS INC CATM,CATM
CATO CORP CATO,CATO
CATHAY GENERAL BANCORP CATY,CATY
CAVIUM INC CAVM,CAVM
CINCINNATI BELL INC CBB,CBB
CBEYOND INC CBEY,CBEY
CHRISTOPHER & BANKS COR CBK,CBK
CAPITAL BK CORP CBKN,CBKN
CBL & ASSOC PPTYS INC CBL,CBL
CLEVELAND BIOLABS INC CBLI,CBLI
CAMBREX CORP CBM,CBM
CAPE BANCORP INC CBNJ,CBNJ
CARIBOU COFFEE CO INC CBOU,CBOU
CIBER INC CBR,CBR
CRACKER BARREL STORE CBRL,CBRL
COLUMBIA LABORATORIES CBRX,CBRX
CUBIST PHARMACEUTICALS CBST,CBST
COMMUNITY BANK SYSTEMS CBU,CBU
CBIZ INC CBZ,CBZ
CAPITAL CITY BANK GROUP CCBG,CCBG
CALGON CARBON CORP CCC,CCC
CHASE CORP CCF,CCF
CAMPUS CREST CMNTYS INC CCG,CCG
COLEMAN CABLE INC CCIX,CCIX
CABOT MICROELECTRONICS CCMP,CCMP
CNB FINL CORP PA CCNE,CCNE
COGENT COMMUNICATIONS CCOI,CCOI
CROSS COUNTRY HEALTHCAR CCRN,CCRN
COEUR D ALENE MINES COR CDE,CDE
CDI CORP CDI,CDI
CEDAR SHOPPING CTRS INC CDR,CDR
CODEXIS INC CDXS,CDXS
CADIZ INC CDZI,CDZI
CEC ENTMT INC CEC,CEC
CENTRAL EUROPEAN DISTRI CEDC,CEDC
BRIGHTPOINT INC CELL,CELL
CENTRAL GARDEN & PET CO CENTA,CENTA
CENTURY ALUMINUM CO CENX,CENX
CERUS CORP CERS,CERS
