Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,Portfolio-Value-Pre,Portfolio-Cash-Pre,Portfolio-Value-Post,Portfolio-Cash-Post,Intra-Day-Exit-PorL,Intra-Day-Exit-Date,Exit-Date,Exit-Price,Portfolio-Value-Pre,Portfolio-Cash-Pre,Portfolio-Value-Post,Portfolio-Cash-Post,PorL,Current-Pos
AAPL,LONG,2013-07-19,59.94,84,120971.31,5349.37,120073.16,314.41,2.62990956559,2013-07-19,2013-07-23,58.87,118953.60,314.41,113872.20,5259.36,-90.00,['NFLX']
NFLX,LONG,2013-07-09,235.44,434,107673.09,107673.09,112855.92,5492.13,868.0,2013-07-09,2013-07-23,251.40,118953.60,314.41,114366.96,114366.96,6926.64,[]
CF,LONG,2013-07-30,197.61,549,114366.96,114366.96,111304.47,5879.07,251.419637589,2013-07-30,2013-07-31,191.03,111304.47,5879.07,110754.54,110754.54,-3612.42,[]
WHR,LONG,2013-10-30,145.77,721,110754.54,110754.54,109258.03,5654.37,222.810329953,2013-10-30,2013-10-31,143.21,109258.03,5654.37,108908.78,108908.78,-1845.76,[]
AMZN,LONG,2013-11-25,373.82,276,108908.78,108908.78,109687.10,5734.46,552.0,2013-11-25,2013-11-26,375.82,109687.10,5734.46,109460.78,109460.78,552.00,[]
AAPL,LONG,2013-11-27,75.04,1385,109460.78,109460.78,111329.88,5530.38,1876.8446201,2013-11-27,2013-12-11,78.77,115126.15,5530.38,114626.83,114626.83,5166.05,[]
CF,LONG,2014-01-10,237.06,459,114626.83,114626.83,116561.25,5816.29,918.0,2014-01-10,2014-01-13,239.06,116561.25,5816.29,115544.83,115544.83,918.00,[]
V,LONG,2014-01-21,232.64,475,115544.83,115544.83,114385.04,5039.31,523.320669904,2014-01-21,2014-01-23,229.93,114884.79,5039.31,114293.40,109496.63,-1287.09,['GD']
GD,LONG,2014-01-23,99.19,48,114884.79,5039.31,112685.72,278.19,47.4593819035,2014-01-23,2014-01-24,97.88,114293.40,109496.63,114194.87,114194.87,-62.88,[]
URI,LONG,2014-02-19,85.55,634,114194.87,114194.87,112712.77,5860.37,101.3766,2014-02-19,2014-02-20,84.29,112712.77,5860.37,113616.23,59300.23,-798.84,['VRX']
VRX,LONG,2014-02-19,147.40,367,114194.87,114194.87,113321.41,60099.07,3.67,2014-02-19,2014-02-21,146.09,113616.23,59300.23,112915.26,112915.26,-480.77,[]
NXPI,LONG,2014-04-02,61.99,1744,112915.26,112915.26,111781.66,4804.70,558.08,2014-04-02,2014-04-04,61.61,112775.74,4804.70,112252.54,112252.54,-662.72,[]
UNP,LONG,2014-05-19,96.41,1106,112252.54,112252.54,112331.91,5623.08,183.032116248,2014-05-19,2014-05-20,96.07,112331.91,5623.08,111876.50,111876.50,-376.04,[]
NFLX,LONG,2014-05-20,367.42,14,112331.91,5623.08,111936.00,106732.62,28.0,2014-05-20,2014-05-28,397.20,112500.43,5529.54,110576.43,11090.34,416.92,['AGN']
AGN,LONG,2014-05-23,213.96,473,112217.82,106732.62,112275.65,5529.54,416.24,2014-05-23,2014-05-28,213.72,112500.43,5529.54,112179.90,112179.90,-113.52,[]
AGN,LONG,2014-08-20,223.90,475,112179.90,112179.90,111923.40,5827.40,133.0,2014-08-20,2014-08-22,225.90,113296.15,5827.40,113129.90,113129.90,950.00,[]
IWM,LONG,2014-10-29,113.99,48,117642.59,5767.19,117495.18,295.67,22.7838623522,2014-10-29,2014-10-30,112.98,117495.18,295.67,118978.22,5718.71,-48.48,['GD']
GD,LONG,2014-10-24,131.09,819,113129.90,113129.90,114284.69,5767.19,1187.55,2014-10-24,2014-11-07,141.06,121656.35,5718.71,121246.85,121246.85,8165.43,[]
AGN,LONG,2014-11-19,269.86,426,121246.85,121246.85,119619.53,6286.49,204.48,2014-11-19,2014-11-20,264.58,119619.53,6286.49,118997.57,118997.57,-2249.28,[]
